# OpenSignals Text File Format. Version 1
# {"98:D3:41:FE:38:1A": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:41:FE:38:1A", "device connection": "BTH98:D3:41:FE:38:1A", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-9-11", "time": "14:51:47.642", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	502	
1	0	0	0	0	502	
2	0	0	0	0	503	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	506	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	507	
1	0	0	0	0	506	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	502	
6	0	0	0	0	500	
7	0	0	0	0	499	
8	0	0	0	0	497	
9	0	0	0	0	496	
10	0	0	0	0	494	
11	0	0	0	0	493	
12	0	0	0	0	491	
13	0	0	0	0	488	
14	0	0	0	0	486	
15	0	0	0	0	484	
0	0	0	0	0	481	
1	0	0	0	0	478	
2	0	0	0	0	476	
3	0	0	0	0	475	
4	0	0	0	0	473	
5	0	0	0	0	472	
6	0	0	0	0	472	
7	0	0	0	0	470	
8	0	0	0	0	471	
9	0	0	0	0	469	
10	0	0	0	0	468	
11	0	0	0	0	470	
12	0	0	0	0	476	
13	0	0	0	0	490	
14	0	0	0	0	508	
15	0	0	0	0	532	
0	0	0	0	0	562	
1	0	0	0	0	595	
2	0	0	0	0	633	
3	0	0	0	0	678	
4	0	0	0	0	723	
5	0	0	0	0	768	
6	0	0	0	0	815	
7	0	0	0	0	863	
8	0	0	0	0	904	
9	0	0	0	0	936	
10	0	0	0	0	958	
11	0	0	0	0	968	
12	0	0	0	0	964	
13	0	0	0	0	949	
14	0	0	0	0	926	
15	0	0	0	0	897	
0	0	0	0	0	865	
1	0	0	0	0	832	
2	0	0	0	0	800	
3	0	0	0	0	769	
4	0	0	0	0	741	
5	0	0	0	0	714	
6	0	0	0	0	688	
7	0	0	0	0	661	
8	0	0	0	0	636	
9	0	0	0	0	611	
10	0	0	0	0	588	
11	0	0	0	0	568	
12	0	0	0	0	552	
13	0	0	0	0	540	
14	0	0	0	0	530	
15	0	0	0	0	522	
0	0	0	0	0	514	
1	0	0	0	0	507	
2	0	0	0	0	501	
3	0	0	0	0	495	
4	0	0	0	0	489	
5	0	0	0	0	482	
6	0	0	0	0	477	
7	0	0	0	0	472	
8	0	0	0	0	466	
9	0	0	0	0	462	
10	0	0	0	0	460	
11	0	0	0	0	458	
12	0	0	0	0	457	
13	0	0	0	0	457	
14	0	0	0	0	456	
15	0	0	0	0	455	
0	0	0	0	0	455	
1	0	0	0	0	453	
2	0	0	0	0	452	
3	0	0	0	0	451	
4	0	0	0	0	451	
5	0	0	0	0	451	
6	0	0	0	0	451	
7	0	0	0	0	450	
8	0	0	0	0	449	
9	0	0	0	0	448	
10	0	0	0	0	447	
11	0	0	0	0	445	
12	0	0	0	0	444	
13	0	0	0	0	446	
14	0	0	0	0	447	
15	0	0	0	0	448	
0	0	0	0	0	449	
1	0	0	0	0	451	
2	0	0	0	0	453	
3	0	0	0	0	455	
4	0	0	0	0	455	
5	0	0	0	0	453	
6	0	0	0	0	449	
7	0	0	0	0	447	
8	0	0	0	0	446	
9	0	0	0	0	444	
10	0	0	0	0	443	
11	0	0	0	0	444	
12	0	0	0	0	445	
13	0	0	0	0	447	
14	0	0	0	0	447	
15	0	0	0	0	449	
0	0	0	0	0	451	
1	0	0	0	0	453	
2	0	0	0	0	455	
3	0	0	0	0	458	
4	0	0	0	0	460	
5	0	0	0	0	462	
6	0	0	0	0	463	
7	0	0	0	0	463	
8	0	0	0	0	463	
9	0	0	0	0	463	
10	0	0	0	0	462	
11	0	0	0	0	461	
12	0	0	0	0	460	
13	0	0	0	0	460	
14	0	0	0	0	461	
15	0	0	0	0	462	
0	0	0	0	0	463	
1	0	0	0	0	464	
2	0	0	0	0	466	
3	0	0	0	0	467	
4	0	0	0	0	467	
5	0	0	0	0	468	
6	0	0	0	0	468	
7	0	0	0	0	467	
8	0	0	0	0	467	
9	0	0	0	0	467	
10	0	0	0	0	467	
11	0	0	0	0	467	
12	0	0	0	0	469	
13	0	0	0	0	472	
14	0	0	0	0	474	
15	0	0	0	0	477	
0	0	0	0	0	480	
1	0	0	0	0	482	
2	0	0	0	0	483	
3	0	0	0	0	484	
4	0	0	0	0	485	
5	0	0	0	0	486	
6	0	0	0	0	486	
7	0	0	0	0	486	
8	0	0	0	0	485	
9	0	0	0	0	484	
10	0	0	0	0	484	
11	0	0	0	0	484	
12	0	0	0	0	483	
13	0	0	0	0	481	
14	0	0	0	0	481	
15	0	0	0	0	482	
0	0	0	0	0	482	
1	0	0	0	0	484	
2	0	0	0	0	486	
3	0	0	0	0	488	
4	0	0	0	0	492	
5	0	0	0	0	494	
6	0	0	0	0	496	
7	0	0	0	0	497	
8	0	0	0	0	499	
9	0	0	0	0	499	
10	0	0	0	0	499	
11	0	0	0	0	498	
12	0	0	0	0	497	
13	0	0	0	0	497	
14	0	0	0	0	496	
15	0	0	0	0	495	
0	0	0	0	0	495	
1	0	0	0	0	495	
2	0	0	0	0	497	
3	0	0	0	0	499	
4	0	0	0	0	501	
5	0	0	0	0	503	
6	0	0	0	0	503	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	503	
11	0	0	0	0	503	
12	0	0	0	0	502	
13	0	0	0	0	502	
14	0	0	0	0	501	
15	0	0	0	0	503	
0	0	0	0	0	504	
1	0	0	0	0	505	
2	0	0	0	0	508	
3	0	0	0	0	510	
4	0	0	0	0	512	
5	0	0	0	0	515	
6	0	0	0	0	518	
7	0	0	0	0	519	
8	0	0	0	0	519	
9	0	0	0	0	519	
10	0	0	0	0	519	
11	0	0	0	0	519	
12	0	0	0	0	518	
13	0	0	0	0	518	
14	0	0	0	0	518	
15	0	0	0	0	519	
0	0	0	0	0	520	
1	0	0	0	0	520	
2	0	0	0	0	520	
3	0	0	0	0	520	
4	0	0	0	0	522	
5	0	0	0	0	524	
6	0	0	0	0	526	
7	0	0	0	0	526	
8	0	0	0	0	527	
9	0	0	0	0	528	
